R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R04334	UDP-alpha-D-galactose:(indol-3-yl)acetyl-myo-inositol 5-O-D-galactosyltransferase	C00052 + C03868	C00015 + C04695	C00052 + C03868 <=> C00015 + C04695	UDP-alpha-D-galactose:(indol-3-yl)acetyl-myo-inositol 5-O-D-galactosyltransferase; UDP-alpha-D-galactose + Indole-3-acetyl-myo-inositol <=> UDP + 5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside	UDP-alpha-D-galactose + Indole-3-acetyl-myo-inositol <=> UDP + 5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
R04335	UDP-L-arabinose:indol-3-ylacetyl-myo-inositol L-arabinosyltransferase	C00935 + C03868	C00015 + C04611	C00935 + C03868 <=> C00015 + C04611	UDP-L-arabinose:indol-3-ylacetyl-myo-inositol L-arabinosyltransferase; UDP-L-arabinose + Indole-3-acetyl-myo-inositol <=> UDP + Indol-3-ylacetyl-myo-inositol L-arabinoside	UDP-L-arabinose + Indole-3-acetyl-myo-inositol <=> UDP + Indol-3-ylacetyl-myo-inositol L-arabinoside
R04338	S-(4-bromophenyl)-L-cysteine:2-oxoglutarate aminotransferase	C03900 + C00026	C04264 + C00025	C03900 + C00026 <=> C04264 + C00025	S-(4-bromophenyl)-L-cysteine:2-oxoglutarate aminotransferase; S-(4-Bromophenyl)-L-cysteine + 2-Oxoglutarate <=> 3-[(4-Bromophenyl)sulfanyl]-2-oxopropanoate + L-Glutamate	S-(4-Bromophenyl)-L-cysteine + 2-Oxoglutarate <=> 3-[(4-Bromophenyl)sulfanyl]-2-oxopropanoate + L-Glutamate
R04339	thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase	C03901 + C00003	C04445 + C00004 + C00080	C03901 + C00003 <=> C04445 + C00004 + C00080	thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase; Thiomorpholine 3-carboxylate + NAD+ <=> 3,4-Dehydrothiomorpholine-3-carboxylate + NADH + H+	Thiomorpholine 3-carboxylate + NAD+ <=> 3,4-Dehydrothiomorpholine-3-carboxylate + NADH + H+
R04340	thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase	C03901 + C00006	C04445 + C00005 + C00080	C03901 + C00006 <=> C04445 + C00005 + C00080	thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase; Thiomorpholine 3-carboxylate + NADP+ <=> 3,4-Dehydrothiomorpholine-3-carboxylate + NADPH + H+	Thiomorpholine 3-carboxylate + NADP+ <=> 3,4-Dehydrothiomorpholine-3-carboxylate + NADPH + H+
R04341	alpha-N-peptidyl-L-glutamine amidohydrolase	C03905 + C00001	C03904 + C00014	C03905 + C00001 <=> C03904 + C00014	alpha-N-peptidyl-L-glutamine amidohydrolase; alpha-N-Peptidyl-L-glutamine + H2O <=> alpha-N-Peptidyl-L-glutamate + Ammonia	alpha-N-Peptidyl-L-glutamine + H2O <=> alpha-N-Peptidyl-L-glutamate + Ammonia
R04342	trans-5-O-(4-coumaroyl)-D-quinate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)	C12208 + C03024 + C00007	C00852 + C03161 + C00001	C12208 + C03024 + C00007 <=> C00852 + C03161 + C00001	trans-5-O-(4-coumaroyl)-D-quinate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating); p-Coumaroyl quinic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Chlorogenate + [Oxidized NADPH---hemoprotein reductase] + H2O	p-Coumaroyl quinic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Chlorogenate + [Oxidized NADPH---hemoprotein reductase] + H2O
R04343	UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase	C00617 + C00470	C00015 + C00470	C00617 + C00470 <=> C00015 + C00470	UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase; UDP-D-galacturonate + Pectate <=> UDP + Pectate	UDP-D-galacturonate + Pectate <=> UDP + Pectate
R04344	3beta-hydroxysteroid:NADP+ oxidoreductase	C12525 + C00006	C03917 + C00005 + C00080	C12525 + C00006 <=> C03917 + C00005 + C00080	3beta-hydroxysteroid:NADP+ oxidoreductase; 5alpha-Androstan-3beta,17beta-diol + NADP+ <=> Dihydrotestosterone + NADPH + H+	5alpha-Androstan-3beta,17beta-diol + NADP+ <=> Dihydrotestosterone + NADPH + H+
R04345	2,4-dichloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)	C04625	C03918	C04625 <=> C03918	2,4-dichloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing); 2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate <=> 2,4-Dichloro-cis,cis-muconate	2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate <=> 2,4-Dichloro-cis,cis-muconate
R04346	2,4-dioxotetrahydropyrimidine-nucleotide:pyrophosphate phospho-alpha-D-ribosyltransferase	C04639 + C00013	C00429 + C00119	C04639 + C00013 <=> C00429 + C00119	2,4-dioxotetrahydropyrimidine-nucleotide:pyrophosphate phospho-alpha-D-ribosyltransferase; 2,4-Dioxotetrahydropyrimidine D-ribonucleotide + Diphosphate <=> 5,6-Dihydrouracil + 5-Phospho-alpha-D-ribose 1-diphosphate	2,4-Dioxotetrahydropyrimidine D-ribonucleotide + Diphosphate <=> 5,6-Dihydrouracil + 5-Phospho-alpha-D-ribose 1-diphosphate
R04347	5-methyl-5,6,7,8-tetrahydromethanopterin:2-mercaptoethanesulfonate 2-methyltransferas	C04488 + C03576	C01217 + C03920	C04488 + C03576 + 2 C01330(side 1) <=> C01217 + C03920 + 2 C01330(side 2)	5-methyl-5,6,7,8-tetrahydromethanopterin:2-mercaptoethanesulfonate 2-methyltransferas; 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme M + 2 Sodium cation(side 1) <=> 5,6,7,8-Tetrahydromethanopterin + 2-(Methylthio)ethanesulfonate + 2 Sodium cation(side 2)	5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme M + 2 Sodium cation(side 1) <=> 5,6,7,8-Tetrahydromethanopterin + 2-(Methylthio)ethanesulfonate + 2 Sodium cation(side 2)
R04348	acetyl-CoA:2-deoxystreptamine-antibiotic N3'-acetyltransferase	C00024 + C03922	C00010 + C04504	C00024 + C03922 <=> C00010 + C04504	acetyl-CoA:2-deoxystreptamine-antibiotic N3'-acetyltransferase; Acetyl-CoA + 2-Deoxystreptamine antibiotic <=> CoA + N3-Acetyl-2-deoxystreptamine antibiotic	Acetyl-CoA + 2-Deoxystreptamine antibiotic <=> CoA + N3-Acetyl-2-deoxystreptamine antibiotic
R04349	3,5-dibromo-4-hydroxybenzonitrile aminohydrolase	C04178 + C00001	C03925 + C00014	C04178 + 2 C00001 <=> C03925 + C00014	3,5-dibromo-4-hydroxybenzonitrile aminohydrolase; Bromoxynil + 2 H2O <=> 3,5-Dibromo-4-hydroxybenzoate + Ammonia	Bromoxynil + 2 H2O <=> 3,5-Dibromo-4-hydroxybenzoate + Ammonia
R04350	(2S)-2-amino-3-[3-hydroxy-4-oxopyridin-1(4H)-yl]propanoate 3-hydroxy-4H-pyrid-4-one-lyase (2-aminoprop-2-enoate-forming)	C04771 + C00001	C03927 + C00022 + C00014	C04771 + C00001 <=> C03927 + C00022 + C00014	(2S)-2-amino-3-[3-hydroxy-4-oxopyridin-1(4H)-yl]propanoate 3-hydroxy-4H-pyrid-4-one-lyase (2-aminoprop-2-enoate-forming); L-Mimosine + H2O <=> 3-Hydroxy-4H-pyrid-4-one + Pyruvate + Ammonia	L-Mimosine + H2O <=> 3-Hydroxy-4H-pyrid-4-one + Pyruvate + Ammonia
R04352	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	C04373 + C00167	C11136 + C00015	C04373 + C00167 <=> C11136 + C00015	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific); Etiocholanolone + UDP-glucuronate <=> Etiocholan-3alpha-ol-17-one 3-glucuronide + UDP	Etiocholanolone + UDP-glucuronate <=> Etiocholan-3alpha-ol-17-one 3-glucuronide + UDP
R04353	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	C05299 + C00167	C11132 + C00015	C05299 + C00167 <=> C11132 + C00015	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific); 2-Methoxyestrone + UDP-glucuronate <=> 2-Methoxyestrone 3-glucuronide + UDP	2-Methoxyestrone + UDP-glucuronate <=> 2-Methoxyestrone 3-glucuronide + UDP
R04354	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	C05302 + C00167	C11131 + C00015	C05302 + C00167 <=> C11131 + C00015	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific); 2-Methoxy-17beta-estradiol + UDP-glucuronate <=> 2-Methoxy-estradiol-17beta 3-glucuronide + UDP	2-Methoxy-17beta-estradiol + UDP-glucuronate <=> 2-Methoxy-estradiol-17beta 3-glucuronide + UDP
R04355	acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	C03939 + C01209	C05744 + C00011 + C00229	C03939 + C01209 <=> C05744 + C00011 + C00229	acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating); Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein	Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein
R04356	malonyl-CoA:flavonol-3-O-beta-D-glucoside malonyltransferase	C00083 + C03946	C00010 + C04385	C00083 + C03946 <=> C00010 + C04385	malonyl-CoA:flavonol-3-O-beta-D-glucoside malonyltransferase; Malonyl-CoA + Flavonol 3-O-beta-D-glucoside <=> CoA + Flavonol 3-O-(6-O-malonyl-beta-D-glucoside)	Malonyl-CoA + Flavonol 3-O-beta-D-glucoside <=> CoA + Flavonol 3-O-(6-O-malonyl-beta-D-glucoside)
R04358	ATP:[DNA-directed RNA polymerase] phosphotransferase	C00002 + C03959	C00008 + C04395	C00002 + C03959 <=> C00008 + C04395	ATP:[DNA-directed RNA polymerase] phosphotransferase; ATP + [DNA-directed RNA polymerase] <=> ADP + Phospho-[DNA-directed RNA polymerase]	ATP + [DNA-directed RNA polymerase] <=> ADP + Phospho-[DNA-directed RNA polymerase]
R04359	UDPglucose:(25S)-5beta-spirostan-3beta-ol 3-O-beta-glucosyltransferase	C00029 + C03963	C00015 + C08886	C00029 + C03963 <=> C00015 + C08886	UDPglucose:(25S)-5beta-spirostan-3beta-ol 3-O-beta-glucosyltransferase; UDP-glucose + Sarsasapogenin <=> UDP + Asparagoside A	UDP-glucose + Sarsasapogenin <=> UDP + Asparagoside A
R04361	acyl-CoA:1-alkyl-sn-glycero-3-phosphate 2-O-acyltransferase	C00040 + C03968	C00010 + C05977	C00040 + C03968 <=> C00010 + C05977	acyl-CoA:1-alkyl-sn-glycero-3-phosphate 2-O-acyltransferase; Acyl-CoA + 1-Alkyl-sn-glycero-3-phosphate <=> CoA + 2-Acyl-1-alkyl-sn-glycero-3-phosphate	Acyl-CoA + 1-Alkyl-sn-glycero-3-phosphate <=> CoA + 2-Acyl-1-alkyl-sn-glycero-3-phosphate
R04362	1-alkyl-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase	C04476 + C00001	C03968 + C00189	C04476 + C00001 <=> C03968 + C00189	1-alkyl-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase; 1-Alkyl-sn-glycero-3-phosphoethanolamine + H2O <=> 1-Alkyl-sn-glycero-3-phosphate + Ethanolamine	1-Alkyl-sn-glycero-3-phosphoethanolamine + H2O <=> 1-Alkyl-sn-glycero-3-phosphate + Ethanolamine
R04363	acyl-CoA:1-O-alkyl-2-acetyl-sn-glycerol O-acyltransferase	C00040 + C03820	C00010 + C04361	C00040 + C03820 <=> C00010 + C04361	acyl-CoA:1-O-alkyl-2-acetyl-sn-glycerol O-acyltransferase; Acyl-CoA + 1-Alkyl-2-acetyl-sn-glycerol <=> CoA + 1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol	Acyl-CoA + 1-Alkyl-2-acetyl-sn-glycerol <=> CoA + 1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol
R04364	acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase	C03972 + C00024 + C00001	C05539 + C00010	C03972 + C00024 + C00001 <=> C05539 + C00010	acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase; 2,3,4,5-Tetrahydrodipicolinate + Acetyl-CoA + H2O <=> N-Acetyl-L-2-amino-6-oxopimelate + CoA	2,3,4,5-Tetrahydrodipicolinate + Acetyl-CoA + H2O <=> N-Acetyl-L-2-amino-6-oxopimelate + CoA
R04365	succinyl-CoA:2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	C00091 + C03972 + C00001	C00010 + C04462	C00091 + C03972 + C00001 <=> C00010 + C04462	succinyl-CoA:2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase; Succinyl-CoA + 2,3,4,5-Tetrahydrodipicolinate + H2O <=> CoA + N-Succinyl-2-L-amino-6-oxoheptanedioate	Succinyl-CoA + 2,3,4,5-Tetrahydrodipicolinate + H2O <=> CoA + N-Succinyl-2-L-amino-6-oxoheptanedioate
R04366	linalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)	C03985 + C03024 + C00007	C04433 + C03161 + C00001	C03985 + C03024 + C00007 <=> C04433 + C03161 + C00001	linalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating); Linalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (6E)-8-Hydroxylinalool + [Oxidized NADPH---hemoprotein reductase] + H2O	Linalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (6E)-8-Hydroxylinalool + [Oxidized NADPH---hemoprotein reductase] + H2O
R04367	4-nitrophenyl-3-ketovalidamine 4-nitroaniline-lyase	C03995	C02126 + C04815	C03995 <=> C02126 + C04815	4-nitrophenyl-3-ketovalidamine 4-nitroaniline-lyase; 4-Nitrophenyl-3-ketovalidamine <=> 4-Nitroaniline + 5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one	4-Nitrophenyl-3-ketovalidamine <=> 4-Nitroaniline + 5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one
R04368	m7G5'ppp5'X m7GMP phosphohydrolase	C04696 + C00001	C03998 + C16669	C04696 + C00001 <=> C03998 + C16669	m7G5'ppp5'X m7GMP phosphohydrolase; 7-Methylguanosine 5'-triphospho-5'-oligonucleotide + H2O <=> 7-Methylguanosine 5'-phosphate + Oligonucleotide 5'-diphosphate	7-Methylguanosine 5'-triphospho-5'-oligonucleotide + H2O <=> 7-Methylguanosine 5'-phosphate + Oligonucleotide 5'-diphosphate
R04369	D-alanine:alanyl-poly(glycerolphosphate) ligase (ADP-forming)	C00002 + C00133 + C03999	C00008 + C00009 + C04457	C00002 + C00133 + C03999 <=> C00008 + C00009 + C04457	D-alanine:alanyl-poly(glycerolphosphate) ligase (ADP-forming); ATP + D-Alanine + Alanyl-poly(glycerolphosphate) <=> ADP + Orthophosphate + D-Alanyl-alanyl-poly(glycerolphosphate)	ATP + D-Alanine + Alanyl-poly(glycerolphosphate) <=> ADP + Orthophosphate + D-Alanyl-alanyl-poly(glycerolphosphate)
R04370	benzyl-(2R,3S)-2-methyl-3-hydroxybutanoate:NADP+ 3-oxidoreductase	C04561 + C00006	C04000 + C00005 + C00080	C04561 + C00006 <=> C04000 + C00005 + C00080	benzyl-(2R,3S)-2-methyl-3-hydroxybutanoate:NADP+ 3-oxidoreductase; Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate + NADP+ <=> Benzyl 2-methyl-3-oxobutanoate + NADPH + H+	Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate + NADP+ <=> Benzyl 2-methyl-3-oxobutanoate + NADPH + H+
R04371	homoisocitrate hydro-lyase	C05662	C04002 + C00001	C05662 <=> C04002 + C00001	homoisocitrate hydro-lyase; Homoisocitrate <=> (Z)-But-1-ene-1,2,4-tricarboxylate + H2O	Homoisocitrate <=> (Z)-But-1-ene-1,2,4-tricarboxylate + H2O
R04372	D-myo-inositol-3,4-bisphosphate 4-phosphohydrolase	C04063 + C00001	C04006 + C00009	C04063 + C00001 <=> C04006 + C00009	D-myo-inositol-3,4-bisphosphate 4-phosphohydrolase; D-myo-Inositol 3,4-bisphosphate + H2O <=> 1D-myo-Inositol 3-phosphate + Orthophosphate	D-myo-Inositol 3,4-bisphosphate + H2O <=> 1D-myo-Inositol 3-phosphate + Orthophosphate
R04373	glycoprotein-N-acetyl-D-glucosaminyl-phospho-D-mannose N-acetyl-D-glucosaminylphosphohydrolase	C04755 + C00001	C00140 + C04010	C04755 + C00001 <=> C00140 + C04010	glycoprotein-N-acetyl-D-glucosaminyl-phospho-D-mannose N-acetyl-D-glucosaminylphosphohydrolase; Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose + H2O <=> N-Acetyl-D-glucosamine + Glycoprotein phospho-D-mannose	Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose + H2O <=> N-Acetyl-D-glucosamine + Glycoprotein phospho-D-mannose
R04374	trans-3-hydroxy-L-proline hydro-lyase (1-pyrroline-2-carboxylate-forming)	C05147	C03564 + C00001	C05147 <=> C03564 + C00001	trans-3-hydroxy-L-proline hydro-lyase (1-pyrroline-2-carboxylate-forming); trans-3-Hydroxy-L-proline <=> 1-Pyrroline-2-carboxylate + H2O	trans-3-Hydroxy-L-proline <=> 1-Pyrroline-2-carboxylate + H2O
R04376	3-(2,3-dihydroxyphenyl)propanoate:oxygen 1,2-oxidoreductase (decyclizing)	C04044 + C00007	C04479	C04044 + C00007 <=> C04479	3-(2,3-dihydroxyphenyl)propanoate:oxygen 1,2-oxidoreductase (decyclizing); 3-(2,3-Dihydroxyphenyl)propanoate + Oxygen <=> 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	3-(2,3-Dihydroxyphenyl)propanoate + Oxygen <=> 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
R04377	UDP-alpha-D-glucose:1,2-diacyl-3-O-(beta-D-glucopyranosyl)-sn-glycerol 6-glucosyltransferase	C04046 + C00029	C06040 + C00015	C04046 + C00029 <=> C06040 + C00015	UDP-alpha-D-glucose:1,2-diacyl-3-O-(beta-D-glucopyranosyl)-sn-glycerol 6-glucosyltransferase; 3-D-Glucosyl-1,2-diacylglycerol + UDP-glucose <=> Diglucosyldiacylglycerol + UDP	3-D-Glucosyl-1,2-diacylglycerol + UDP-glucose <=> Diglucosyldiacylglycerol + UDP
R04378	1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase	C04677 + C00013	C04051 + C00119	C04677 + C00013 <=> C04051 + C00119	1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase; 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphate <=> 5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose 1-diphosphate	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphate <=> 5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose 1-diphosphate
R04379	5-carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase	C04186	C04052	C04186 <=> C04052	5-carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase; 5-Carboxymethyl-2-hydroxymuconate <=> 5-Carboxy-2-oxohept-3-enedioate	5-Carboxymethyl-2-hydroxymuconate <=> 5-Carboxy-2-oxohept-3-enedioate
R04380	5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	C04052	C05600 + C00011	C04052 <=> C05600 + C00011	5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase; 5-Carboxy-2-oxohept-3-enedioate <=> 2-Hydroxyhepta-2,4-dienedioate + CO2	5-Carboxy-2-oxohept-3-enedioate <=> 2-Hydroxyhepta-2,4-dienedioate + CO2
R04382	4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase	C06118	C04053	C06118 <=> 2 C04053	4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase; 4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate <=> 2 5-Dehydro-4-deoxy-D-glucuronate	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate <=> 2 5-Dehydro-4-deoxy-D-glucuronate
R04383	5-dehydro-4-deoxy-D-glucuronate ketol-isomerase	C04053	C04349	C04053 <=> C04349	5-dehydro-4-deoxy-D-glucuronate ketol-isomerase; 5-Dehydro-4-deoxy-D-glucuronate <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate	5-Dehydro-4-deoxy-D-glucuronate <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate
R04384	methanol:[Co(I) corrinoid protein] Co-methyltransferase	C00132 + C06021	C06020 + C00001	C00132 + C06021 <=> C06020 + C00001	methanol:[Co(I) corrinoid protein] Co-methyltransferase; Methanol + Co(I) corrinoid protein <=> Methyl-Co(III) corrinoid protein + H2O	Methanol + Co(I) corrinoid protein <=> Methyl-Co(III) corrinoid protein + H2O
R04385	biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)	C00002 + C06250 + C00288	C00008 + C00009 + C04419	C00002 + C06250 + C00288 <=> C00008 + C00009 + C04419	biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming); ATP + Holo-[carboxylase] + HCO3- <=> ADP + Orthophosphate + Carboxybiotin-carboxyl-carrier protein	ATP + Holo-[carboxylase] + HCO3- <=> ADP + Orthophosphate + Carboxybiotin-carboxyl-carrier protein
R04386	carboxybiotin-carboxyl-carrier-protein:acetyl-CoA carboxytransferase	C00024 + C04419	C00083 + C06250	C00024 + C04419 <=> C00083 + C06250	carboxybiotin-carboxyl-carrier-protein:acetyl-CoA carboxytransferase; Acetyl-CoA + Carboxybiotin-carboxyl-carrier protein <=> Malonyl-CoA + Holo-[carboxylase]	Acetyl-CoA + Carboxybiotin-carboxyl-carrier protein <=> Malonyl-CoA + Holo-[carboxylase]
R04387	diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase	C04586 + C00006	C04067 + C00005 + C00080	C04586 + C00006 <=> C04067 + C00005 + C00080	diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase; Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate + NADP+ <=> Diethyl 2-methyl-3-oxosuccinate + NADPH + H+	Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate + NADP+ <=> Diethyl 2-methyl-3-oxosuccinate + NADPH + H+
R04388	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase	C00002 + C04071	C00008 + C04503	C00002 + C04071 <=> C00008 + C04503	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase; ATP + Guanidinoethyl methyl phosphate <=> ADP + N'-Phosphoguanidinoethyl methyl phosphate	ATP + Guanidinoethyl methyl phosphate <=> ADP + N'-Phosphoguanidinoethyl methyl phosphate
R04389	heparosan-N-sulfate-D-glucuronate glucurono-5-epimerase;	C04196	C04073	C04196 <=> C04073	heparosan-N-sulfate-D-glucuronate glucurono-5-epimerase; poly[(1->4)-beta-D-glucuronosyl-(1->4)-N-sulfo-alpha-D-glucosaminyl] glucurono-5-epimerase; Heparosan-N-sulfate D-glucuronate <=> Heparosan-N-sulfate L-iduronate	Heparosan-N-sulfate D-glucuronate <=> Heparosan-N-sulfate L-iduronate
R04390	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase	C05535 + C00005 + C00080	C04076 + C11482 + C00006	C05535 + C00005 + C00080 <=> C04076 + C11482 + C00006	L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase; alpha-Aminoadipoyl-S-acyl enzyme + NADPH + H+ <=> L-2-Aminoadipate 6-semialdehyde + Holo-Lys2 + NADP+	alpha-Aminoadipoyl-S-acyl enzyme + NADPH + H+ <=> L-2-Aminoadipate 6-semialdehyde + Holo-Lys2 + NADP+
R04391	ATP:pantothenate 4'-phosphotransferase	C00002 + C04079	C00008 + C04352	C00002 + C04079 <=> C00008 + C04352	ATP:pantothenate 4'-phosphotransferase; ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine	ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine
R04392	pregna-4,9(11)-diene-3,20-dione,hydrogen-donor:oxygen oxidoreductase (9-epoxidizing)	C04084 + C00030 + C00007	C04379 + C00028 + C00001	C04084 + C00030 + C00007 <=> C04379 + C00028 + C00001	pregna-4,9(11)-diene-3,20-dione,hydrogen-donor:oxygen oxidoreductase (9-epoxidizing); Pregna-4,9(11)-diene-3,20-dione + Reduced acceptor + Oxygen <=> 9,11alpha-Epoxypregn-4-ene-3,20-dione + Acceptor + H2O	Pregna-4,9(11)-diene-3,20-dione + Reduced acceptor + Oxygen <=> 9,11alpha-Epoxypregn-4-ene-3,20-dione + Acceptor + H2O
R04393	protein-N(pi)-phosphohistidine:lactose 6-phosphotransferase	C04261 + C00243	C00615 + C05396	C04261 + C00243 <=> C00615 + C05396	protein-N(pi)-phosphohistidine:lactose 6-phosphotransferase; Protein N(pi)-phospho-L-histidine + Lactose <=> Protein histidine + Lactose 6'-phosphate	Protein N(pi)-phospho-L-histidine + Lactose <=> Protein histidine + Lactose 6'-phosphate
R04394	protein-N(pi)-phosphohistidine:salicin 6-phosphotransferase	C04261 + C01451	C00615 + C06188	C04261 + C01451 <=> C00615 + C06188	protein-N(pi)-phosphohistidine:salicin 6-phosphotransferase; Protein N(pi)-phospho-L-histidine + Salicin <=> Protein histidine + Salicin 6-phosphate	Protein N(pi)-phospho-L-histidine + Salicin <=> Protein histidine + Salicin 6-phosphate
R04396	S-adenosyl-L-methionine:1,4-alpha-D-glucan 6-O-methyltransferase	C00019 + C04099	C00021 + C04725	C00019 + C04099 <=> C00021 + C04725	S-adenosyl-L-methionine:1,4-alpha-D-glucan 6-O-methyltransferase; S-Adenosyl-L-methionine + 1,4-alpha-D-Glucooligosaccharide <=> S-Adenosyl-L-homocysteine + Oligosaccharide containing 6-methyl-D-glucose units	S-Adenosyl-L-methionine + 1,4-alpha-D-Glucooligosaccharide <=> S-Adenosyl-L-homocysteine + Oligosaccharide containing 6-methyl-D-glucose units
